0.00.121.724 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.122.761 W srv  llama_server: -----------------
0.00.122.787 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.122.789 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.122.790 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.122.791 W srv  llama_server: -----------------
0.00.124.221 I srv    load_model: loading model '/data/data/com.termux/files/home/rpgos-temp-gm/models/bielik45/Bielik-4.5B-v3.0-Instruct-Q4_K_M.gguf'
0.04.248.171 I cmn          init: llama threadpool init, n_threads = 10
0.05.453.543 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 3072, kv_unified = 'false'
0.05.472.638 I srv  llama_server: model loaded
0.05.472.665 I srv  llama_server: listening on http://127.0.0.1:8080
0.05.472.667 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.05.472.668 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.06.503.030 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.44.335.451 I slot launch_slot_: id  0 | task 161 | processing task, is_child = 0
0.48.430.423 I slot print_timing: id  0 | task 161 | prompt eval time =     857.27 ms /    50 tokens (   17.15 ms per token,    58.32 tokens per second)
0.48.430.501 I slot print_timing: id  0 | task 161 |        eval time =    3237.65 ms /    29 tokens (  115.63 ms per token,     8.65 tokens per second)
0.48.430.509 I slot print_timing: id  0 | task 161 |       total time =    4094.93 ms /    79 tokens
0.48.430.514 I slot print_timing: id  0 | task 161 |    graphs reused =        169
0.48.430.649 I slot      release: id  0 | task 161 | stop processing: n_tokens = 741, truncated = 0
0.50.488.261 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.50.489.095 I slot launch_slot_: id  0 | task 191 | processing task, is_child = 0
0.55.317.517 I slot print_timing: id  0 | task 191 | prompt eval time =    1383.36 ms /    53 tokens (   26.10 ms per token,    38.31 tokens per second)
0.55.317.562 I slot print_timing: id  0 | task 191 |        eval time =    3444.89 ms /    30 tokens (  118.79 ms per token,     8.42 tokens per second)
0.55.317.564 I slot print_timing: id  0 | task 191 |       total time =    4828.25 ms /    83 tokens
0.55.317.565 I slot print_timing: id  0 | task 191 |    graphs reused =        197
0.55.317.642 I slot      release: id  0 | task 191 | stop processing: n_tokens = 800, truncated = 0
0.57.384.977 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.57.385.925 I slot launch_slot_: id  0 | task 222 | processing task, is_child = 0
1.01.459.226 I slot print_timing: id  0 | task 222 | prompt eval time =     829.51 ms /    33 tokens (   25.14 ms per token,    39.78 tokens per second)
1.01.459.273 I slot print_timing: id  0 | task 222 |        eval time =    3243.64 ms /    28 tokens (  120.13 ms per token,     8.32 tokens per second)
1.01.459.275 I slot print_timing: id  0 | task 222 |       total time =    4073.14 ms /    61 tokens
1.01.459.277 I slot print_timing: id  0 | task 222 |    graphs reused =        223
1.01.459.446 I slot      release: id  0 | task 222 | stop processing: n_tokens = 860, truncated = 0
1.03.525.442 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.03.526.106 I slot launch_slot_: id  0 | task 251 | processing task, is_child = 0
1.08.789.606 I slot print_timing: id  0 | task 251 | prompt eval time =     852.00 ms /    34 tokens (   25.06 ms per token,    39.91 tokens per second)
1.08.789.644 I slot print_timing: id  0 | task 251 |        eval time =    4411.46 ms /    37 tokens (  122.54 ms per token,     8.16 tokens per second)
1.08.789.646 I slot print_timing: id  0 | task 251 |       total time =    5263.46 ms /    71 tokens
1.08.789.647 I slot print_timing: id  0 | task 251 |    graphs reused =        258
1.08.789.730 I slot      release: id  0 | task 251 | stop processing: n_tokens = 930, truncated = 0
1.10.856.634 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.10.857.441 I slot launch_slot_: id  0 | task 289 | processing task, is_child = 0
1.14.430.440 I slot print_timing: id  0 | task 289 | prompt eval time =     979.76 ms /    58 tokens (   16.89 ms per token,    59.20 tokens per second)
1.14.430.504 I slot print_timing: id  0 | task 289 |        eval time =    2593.09 ms /    22 tokens (  123.48 ms per token,     8.10 tokens per second)
1.14.430.510 I slot print_timing: id  0 | task 289 |       total time =    3572.84 ms /    80 tokens
1.14.430.513 I slot print_timing: id  0 | task 289 |    graphs reused =        278
1.14.430.710 I slot      release: id  0 | task 289 | stop processing: n_tokens = 990, truncated = 0
1.16.483.299 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.16.484.414 I slot launch_slot_: id  0 | task 312 | processing task, is_child = 0
1.25.177.025 I slot print_timing: id  0 | task 312 | prompt eval time =     886.47 ms /    35 tokens (   25.33 ms per token,    39.48 tokens per second)
1.25.177.064 I slot print_timing: id  0 | task 312 |        eval time =    7803.40 ms /    35 tokens (  229.51 ms per token,     4.36 tokens per second)
1.25.177.068 I slot print_timing: id  0 | task 312 |       total time =    8689.86 ms /    70 tokens
1.25.177.092 I slot print_timing: id  0 | task 312 |    graphs reused =        311
1.25.182.255 I slot      release: id  0 | task 312 | stop processing: n_tokens = 1059, truncated = 0
1.27.396.458 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.27.398.318 I slot launch_slot_: id  0 | task 348 | processing task, is_child = 0
1.32.347.923 I slot print_timing: id  0 | task 348 | prompt eval time =    1102.48 ms /    62 tokens (   17.78 ms per token,    56.24 tokens per second)
1.32.347.976 I slot print_timing: id  0 | task 348 |        eval time =    3846.93 ms /    27 tokens (  147.96 ms per token,     6.76 tokens per second)
1.32.348.078 I slot print_timing: id  0 | task 348 |       total time =    4949.41 ms /    89 tokens
1.32.348.079 I slot print_timing: id  0 | task 348 |    graphs reused =        336
1.32.348.348 I slot      release: id  0 | task 348 | stop processing: n_tokens = 1123, truncated = 0
1.34.400.017 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.34.400.952 I slot launch_slot_: id  0 | task 376 | processing task, is_child = 0
1.42.010.023 I slot print_timing: id  0 | task 376 | prompt eval time =     945.43 ms /    41 tokens (   23.06 ms per token,    43.37 tokens per second)
1.42.010.117 I slot print_timing: id  0 | task 376 |        eval time =    6663.49 ms /    43 tokens (  158.65 ms per token,     6.30 tokens per second)
1.42.010.123 I slot print_timing: id  0 | task 376 |       total time =    7608.91 ms /    84 tokens
1.42.010.128 I slot print_timing: id  0 | task 376 |    graphs reused =        377
1.42.010.907 I slot      release: id  0 | task 376 | stop processing: n_tokens = 1206, truncated = 0
1.44.113.319 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.44.114.318 I slot launch_slot_: id  0 | task 420 | processing task, is_child = 0
1.56.859.787 I slot print_timing: id  0 | task 420 | prompt eval time =    1713.39 ms /    68 tokens (   25.20 ms per token,    39.69 tokens per second)
1.56.859.881 I slot print_timing: id  0 | task 420 |        eval time =   11031.75 ms /    65 tokens (  172.37 ms per token,     5.80 tokens per second)
1.56.859.889 I slot print_timing: id  0 | task 420 |       total time =   12745.14 ms /   133 tokens
1.56.859.894 I slot print_timing: id  0 | task 420 |    graphs reused =        439
1.56.860.241 I slot      release: id  0 | task 420 | stop processing: n_tokens = 1324, truncated = 0
1.59.217.336 I srv    operator(): operator(): cleaning up before exit...
