0.00.122.207 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.122.784 W srv  llama_server: -----------------
0.00.122.810 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.122.811 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.122.813 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.122.814 W srv  llama_server: -----------------
0.00.124.876 I srv    load_model: loading model '/data/data/com.termux/files/home/rpgos-temp-gm/models/bielik45/Bielik-4.5B-v3.0-Instruct-Q4_K_M.gguf'
0.04.212.040 I cmn          init: llama threadpool init, n_threads = 10
0.05.172.350 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 3072, kv_unified = 'false'
0.05.186.654 I srv  llama_server: model loaded
0.05.186.668 I srv  llama_server: listening on http://127.0.0.1:8080
0.05.186.669 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.05.186.670 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.05.523.579 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.18.240.559 I slot print_timing: id  0 | task 24 |        eval time =    1979.61 ms /    18 tokens (  116.45 ms per token,     8.59 tokens per second)
0.18.240.561 I slot print_timing: id  0 | task 24 |       total time =    3071.66 ms /    63 tokens
0.18.240.562 I slot print_timing: id  0 | task 24 |    graphs reused =         36
0.18.240.631 I slot      release: id  0 | task 24 | stop processing: n_tokens = 418, truncated = 0
0.20.277.225 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.20.277.861 I slot launch_slot_: id  0 | task 43 | processing task, is_child = 0
0.24.026.924 I slot print_timing: id  0 | task 43 | prompt eval time =     910.21 ms /    37 tokens (   24.60 ms per token,    40.65 tokens per second)
0.24.026.954 I slot print_timing: id  0 | task 43 |        eval time =    2838.81 ms /    27 tokens (  109.18 ms per token,     9.16 tokens per second)
0.24.026.956 I slot print_timing: id  0 | task 43 |       total time =    3749.02 ms /    64 tokens
0.24.026.957 I slot print_timing: id  0 | task 43 |    graphs reused =         61
0.24.027.026 I slot      release: id  0 | task 43 | stop processing: n_tokens = 481, truncated = 0
0.26.087.688 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.26.088.176 I slot launch_slot_: id  0 | task 71 | processing task, is_child = 0
0.31.175.232 I slot print_timing: id  0 | task 71 | prompt eval time =    1218.10 ms /    63 tokens (   19.33 ms per token,    51.72 tokens per second)
0.31.175.266 I slot print_timing: id  0 | task 71 |        eval time =    3868.86 ms /    35 tokens (  113.79 ms per token,     8.79 tokens per second)
0.31.175.268 I slot print_timing: id  0 | task 71 |       total time =    5086.97 ms /    98 tokens
0.31.175.269 I slot print_timing: id  0 | task 71 |    graphs reused =         94
0.31.175.326 I slot      release: id  0 | task 71 | stop processing: n_tokens = 555, truncated = 0
0.33.233.898 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.33.234.680 I slot launch_slot_: id  0 | task 107 | processing task, is_child = 0
0.37.058.568 I slot print_timing: id  0 | task 107 | prompt eval time =     903.74 ms /    62 tokens (   14.58 ms per token,    68.60 tokens per second)
0.37.058.600 I slot print_timing: id  0 | task 107 |        eval time =    2920.10 ms /    28 tokens (  108.15 ms per token,     9.25 tokens per second)
0.37.058.602 I slot print_timing: id  0 | task 107 |       total time =    3823.83 ms /    90 tokens
0.37.058.603 I slot print_timing: id  0 | task 107 |    graphs reused =        120
0.37.058.664 I slot      release: id  0 | task 107 | stop processing: n_tokens = 622, truncated = 0
0.39.101.379 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.39.102.253 I slot launch_slot_: id  0 | task 136 | processing task, is_child = 0
0.42.452.328 I slot print_timing: id  0 | task 136 | prompt eval time =     818.25 ms /    35 tokens (   23.38 ms per token,    42.77 tokens per second)
0.42.452.359 I slot print_timing: id  0 | task 136 |        eval time =    2531.69 ms /    24 tokens (  110.07 ms per token,     9.08 tokens per second)
0.42.452.361 I slot print_timing: id  0 | task 136 |       total time =    3349.94 ms /    59 tokens
0.42.452.362 I slot print_timing: id  0 | task 136 |    graphs reused =        142
0.42.452.437 I slot      release: id  0 | task 136 | stop processing: n_tokens = 680, truncated = 0
0.44.495.033 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.44.495.748 I slot launch_slot_: id  0 | task 161 | processing task, is_child = 0
0.48.543.137 I slot print_timing: id  0 | task 161 | prompt eval time =     850.09 ms /    50 tokens (   17.00 ms per token,    58.82 tokens per second)
0.48.543.171 I slot print_timing: id  0 | task 161 |        eval time =    3197.18 ms /    29 tokens (  114.18 ms per token,     8.76 tokens per second)
0.48.543.173 I slot print_timing: id  0 | task 161 |       total time =    4047.26 ms /    79 tokens
0.48.543.174 I slot print_timing: id  0 | task 161 |    graphs reused =        169
0.48.543.236 I slot      release: id  0 | task 161 | stop processing: n_tokens = 741, truncated = 0
0.50.583.999 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.50.584.251 I slot launch_slot_: id  0 | task 191 | processing task, is_child = 0
0.55.170.326 I slot print_timing: id  0 | task 191 | prompt eval time =    1326.40 ms /    53 tokens (   25.03 ms per token,    39.96 tokens per second)
0.55.170.354 I slot print_timing: id  0 | task 191 |        eval time =    3259.63 ms /    30 tokens (  112.40 ms per token,     8.90 tokens per second)
0.55.170.356 I slot print_timing: id  0 | task 191 |       total time =    4586.03 ms /    83 tokens
0.55.170.357 I slot print_timing: id  0 | task 191 |    graphs reused =        197
0.55.170.426 I slot      release: id  0 | task 191 | stop processing: n_tokens = 800, truncated = 0
0.57.233.245 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.57.233.993 I slot launch_slot_: id  0 | task 222 | processing task, is_child = 0
1.01.113.961 I slot print_timing: id  0 | task 222 | prompt eval time =     836.30 ms /    33 tokens (   25.34 ms per token,    39.46 tokens per second)
1.01.113.995 I slot print_timing: id  0 | task 222 |        eval time =    3043.49 ms /    28 tokens (  112.72 ms per token,     8.87 tokens per second)
1.01.113.996 I slot print_timing: id  0 | task 222 |       total time =    3879.79 ms /    61 tokens
1.01.113.998 I slot print_timing: id  0 | task 222 |    graphs reused =        223
1.01.114.065 I slot      release: id  0 | task 222 | stop processing: n_tokens = 860, truncated = 0
1.03.178.396 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.03.179.134 I slot launch_slot_: id  0 | task 251 | processing task, is_child = 0
1.08.116.326 I slot print_timing: id  0 | task 251 | prompt eval time =     855.74 ms /    34 tokens (   25.17 ms per token,    39.73 tokens per second)
1.08.116.360 I slot print_timing: id  0 | task 251 |        eval time =    4081.32 ms /    37 tokens (  113.37 ms per token,     8.82 tokens per second)
1.08.116.362 I slot print_timing: id  0 | task 251 |       total time =    4937.07 ms /    71 tokens
1.08.116.363 I slot print_timing: id  0 | task 251 |    graphs reused =        258
1.08.116.436 I slot      release: id  0 | task 251 | stop processing: n_tokens = 930, truncated = 0
1.10.188.698 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.10.189.620 I slot launch_slot_: id  0 | task 289 | processing task, is_child = 0
1.13.569.004 I slot print_timing: id  0 | task 289 | prompt eval time =    1015.10 ms /    58 tokens (   17.50 ms per token,    57.14 tokens per second)
1.13.569.036 I slot print_timing: id  0 | task 289 |        eval time =    2364.13 ms /    22 tokens (  112.58 ms per token,     8.88 tokens per second)
1.13.569.039 I slot print_timing: id  0 | task 289 |       total time =    3379.23 ms /    80 tokens
1.13.569.041 I slot print_timing: id  0 | task 289 |    graphs reused =        278
1.13.569.116 I slot      release: id  0 | task 289 | stop processing: n_tokens = 990, truncated = 0
1.15.622.168 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.15.623.086 I slot launch_slot_: id  0 | task 312 | processing task, is_child = 0
1.20.396.254 I slot print_timing: id  0 | task 312 | prompt eval time =     902.90 ms /    35 tokens (   25.80 ms per token,    38.76 tokens per second)
1.20.396.286 I slot print_timing: id  0 | task 312 |        eval time =    3870.11 ms /    35 tokens (  113.83 ms per token,     8.79 tokens per second)
1.20.396.287 I slot print_timing: id  0 | task 312 |       total time =    4773.01 ms /    70 tokens
1.20.396.289 I slot print_timing: id  0 | task 312 |    graphs reused =        311
1.20.396.365 I slot      release: id  0 | task 312 | stop processing: n_tokens = 1059, truncated = 0
1.22.459.322 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.22.460.055 I slot launch_slot_: id  0 | task 348 | processing task, is_child = 0
1.26.462.522 I slot print_timing: id  0 | task 348 | prompt eval time =    1056.61 ms /    62 tokens (   17.04 ms per token,    58.68 tokens per second)
1.26.462.556 I slot print_timing: id  0 | task 348 |        eval time =    2945.73 ms /    27 tokens (  113.30 ms per token,     8.83 tokens per second)
1.26.462.558 I slot print_timing: id  0 | task 348 |       total time =    4002.34 ms /    89 tokens
1.26.462.559 I slot print_timing: id  0 | task 348 |    graphs reused =        336
1.26.462.658 I slot      release: id  0 | task 348 | stop processing: n_tokens = 1123, truncated = 0
1.28.512.927 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.28.513.791 I slot launch_slot_: id  0 | task 376 | processing task, is_child = 0
1.34.244.529 I slot print_timing: id  0 | task 376 | prompt eval time =     929.69 ms /    41 tokens (   22.68 ms per token,    44.10 tokens per second)
1.34.244.561 I slot print_timing: id  0 | task 376 |        eval time =    4800.91 ms /    43 tokens (  114.31 ms per token,     8.75 tokens per second)
1.34.244.563 I slot print_timing: id  0 | task 376 |       total time =    5730.59 ms /    84 tokens
1.34.244.564 I slot print_timing: id  0 | task 376 |    graphs reused =        377
1.34.244.645 I slot      release: id  0 | task 376 | stop processing: n_tokens = 1206, truncated = 0
1.36.300.287 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.36.301.306 I slot launch_slot_: id  0 | task 420 | processing task, is_child = 0
1.45.084.457 I slot print_timing: id  0 | task 420 | prompt eval time =    1388.12 ms /    68 tokens (   20.41 ms per token,    48.99 tokens per second)
1.45.084.492 I slot print_timing: id  0 | task 420 |        eval time =    7394.82 ms /    65 tokens (  115.54 ms per token,     8.65 tokens per second)
1.45.084.494 I slot print_timing: id  0 | task 420 |       total time =    8782.95 ms /   133 tokens
1.45.084.495 I slot print_timing: id  0 | task 420 |    graphs reused =        439
1.45.084.587 I slot      release: id  0 | task 420 | stop processing: n_tokens = 1324, truncated = 0
1.47.389.660 I srv    operator(): operator(): cleaning up before exit...
